Year,Average Weather Category,Average Weather Value
2000,Rainfall,68.07
2001,Rainfall,83.47
2002,Rainfall,56.29
2003,Rainfall,93.76
2004,Rainfall,54.08
2005,Rainfall,65.85
2006,Rainfall,65.71
2007,Rainfall,85.93
2008,Rainfall,67.47
2009,Rainfall,41.45
2010,Rainfall,109.13
2011,Rainfall,77.53
2012,Rainfall,77.42
2013,Rainfall,80.87
2014,Rainfall,91.44
2015,Rainfall,78.3
2016,Rainfall,85.67
2017,Rainfall,79.16
2018,Rainfall,58.98
2019,Rainfall,48.64
2020,Rainfall,95.28
2000,Temperature,20.16
2001,Temperature,20.29
2002,Temperature,20.33
2003,Temperature,19.94
2004,Temperature,20.3
2005,Temperature,20.28
2006,Temperature,20.22
2007,Temperature,20.37
2008,Temperature,19.84
2009,Temperature,20.8
2010,Temperature,20.13
2011,Temperature,19.94
2012,Temperature,19.68
2013,Temperature,20.71
2014,Temperature,20.63
2015,Temperature,20.36
2016,Temperature,21.16
2017,Temperature,20.82
2018,Temperature,20.93
2019,Temperature,21.01
2020,Temperature,20.63
